task_id,office_type,task_type,model,seed,assembly,Q_single,Q_single_matched,Q_team,CTR_naive,CTR_matched,TR,call_ratio,team_token_overhead
t-CROSS-M-02,cross_dept,medium_coupling,deepseek-v4-flash,0,concat,0.7917,0.7917,0.375,0.4737,0.4737,0.7037,3.0,-1262
t-CROSS-M-02,cross_dept,medium_coupling,deepseek-v4-flash,1,concat,0.7917,0.7917,0.5833,0.7368,0.7368,1.4195,3.0,1677
t-CROSS-M-02,cross_dept,medium_coupling,deepseek-v4-flash,2,concat,0.7917,0.7917,0.5833,0.7368,0.7368,0.5962,3.0,-2286
t-CROSS-M-02,cross_dept,medium_coupling,deepseek-v4-flash,0,integrator,0.7917,0.7917,1.0,1.2631,1.2631,1.5231,4.0,2228
t-CROSS-M-02,cross_dept,medium_coupling,deepseek-v4-flash,1,integrator,0.7917,0.7917,1.0,1.2631,1.2631,1.5858,4.0,2342
t-CROSS-M-02,cross_dept,medium_coupling,deepseek-v4-flash,2,integrator,0.7917,0.7917,1.0,1.2631,1.2631,1.1682,4.0,952
t-CROSS-M-02,cross_dept,medium_coupling,deepseek-v4-flash,0,last,0.7917,0.7917,0.5833,0.7368,0.7368,0.7741,3.0,-962
t-CROSS-M-02,cross_dept,medium_coupling,deepseek-v4-flash,1,last,0.7917,0.7917,0.375,0.4737,0.4737,0.7764,3.0,-894
t-CROSS-M-02,cross_dept,medium_coupling,deepseek-v4-flash,2,last,0.7917,0.7917,0.375,0.4737,0.4737,0.5492,3.0,-2552
t-DATA-H-03,data,high_coupling,deepseek-v4-flash,0,blackboard,1.0,1.0,1.0,1.0,1.0,2.8252,3.0,8993
t-DATA-H-03,data,high_coupling,deepseek-v4-flash,1,blackboard,1.0,1.0,1.0,1.0,1.0,1.4892,3.0,4255
t-DATA-H-03,data,high_coupling,deepseek-v4-flash,2,blackboard,1.0,1.0,1.0,1.0,1.0,2.4912,3.0,7681
t-DATA-H-03,data,high_coupling,deepseek-v4-flash,0,concat,1.0,1.0,1.0,1.0,1.0,2.8096,3.0,8916
t-DATA-H-03,data,high_coupling,deepseek-v4-flash,1,concat,1.0,1.0,1.0,1.0,1.0,1.4997,3.0,4346
t-DATA-H-03,data,high_coupling,deepseek-v4-flash,2,concat,1.0,1.0,1.0,1.0,1.0,2.5341,3.0,7902
t-DATA-H-03,data,high_coupling,deepseek-v4-flash,0,integrator,1.0,1.0,1.0,1.0,1.0,3.4648,4.0,12144
t-DATA-H-03,data,high_coupling,deepseek-v4-flash,1,integrator,1.0,1.0,1.0,1.0,1.0,1.7015,4.0,6102
t-DATA-H-03,data,high_coupling,deepseek-v4-flash,2,integrator,1.0,1.0,1.0,1.0,1.0,2.8189,4.0,9369
t-DATA-H-03,data,high_coupling,deepseek-v4-flash,0,last,1.0,1.0,1.0,1.0,1.0,2.8579,3.0,9154
t-DATA-H-03,data,high_coupling,deepseek-v4-flash,1,last,1.0,1.0,1.0,1.0,1.0,1.4968,3.0,4321
t-DATA-H-03,data,high_coupling,deepseek-v4-flash,2,last,1.0,1.0,1.0,1.0,1.0,2.3248,3.0,6824
t-DATA-L-01,data,low_coupling,deepseek-v4-flash,0,blackboard,0.375,0.375,0.375,1.0,1.0,0.8002,2.0,-1755
t-DATA-L-01,data,low_coupling,deepseek-v4-flash,1,blackboard,0.375,0.375,0.375,1.0,1.0,0.8326,2.0,-1461
t-DATA-L-01,data,low_coupling,deepseek-v4-flash,2,blackboard,0.7917,0.375,0.375,0.4737,1.0,1.1623,2.0,1119
t-DATA-L-01,data,low_coupling,deepseek-v4-flash,0,concat,0.375,0.375,0.7917,2.1112,2.1112,0.8742,2.0,-1105
t-DATA-L-01,data,low_coupling,deepseek-v4-flash,1,concat,0.375,0.375,0.7917,2.1112,2.1112,1.0643,2.0,561
t-DATA-L-01,data,low_coupling,deepseek-v4-flash,2,concat,0.7917,0.375,0.7917,1.0,2.1112,1.23,2.0,1586
t-DATA-L-01,data,low_coupling,deepseek-v4-flash,0,integrator,0.375,0.375,1.0,2.6667,2.6667,1.0488,3.0,429
t-DATA-L-01,data,low_coupling,deepseek-v4-flash,1,integrator,0.375,0.375,1.0,2.6667,2.6667,1.241,3.0,2103
t-DATA-L-01,data,low_coupling,deepseek-v4-flash,2,integrator,0.7917,0.375,1.0,1.2631,2.6667,1.2081,3.0,1435
t-DATA-L-01,data,low_coupling,deepseek-v4-flash,0,last,0.375,0.375,0.375,1.0,1.0,0.8024,2.0,-1735
t-DATA-L-01,data,low_coupling,deepseek-v4-flash,1,last,0.375,0.375,0.375,1.0,1.0,0.8758,2.0,-1084
t-DATA-L-01,data,low_coupling,deepseek-v4-flash,2,last,0.7917,0.375,0.375,0.4737,1.0,0.9465,2.0,-369
t-DATA-M-02,data,medium_coupling,deepseek-v4-flash,0,blackboard,0.5312,0.6875,0.5312,1.0,0.7727,0.8769,3.0,-422
t-DATA-M-02,data,medium_coupling,deepseek-v4-flash,1,blackboard,0.6875,0.6875,0.5312,0.7727,0.7727,1.3383,3.0,900
t-DATA-M-02,data,medium_coupling,deepseek-v4-flash,2,blackboard,0.6875,0.6875,0.5312,0.7727,0.7727,0.4244,3.0,-4371
t-DATA-M-02,data,medium_coupling,deepseek-v4-flash,0,concat,0.5312,0.6875,0.5312,1.0,0.7727,0.8568,3.0,-491
t-DATA-M-02,data,medium_coupling,deepseek-v4-flash,1,concat,0.6875,0.6875,0.375,0.5455,0.5455,0.9726,3.0,-73
t-DATA-M-02,data,medium_coupling,deepseek-v4-flash,2,concat,0.6875,0.6875,0.5312,0.7727,0.7727,0.3669,3.0,-4808
t-DATA-M-02,data,medium_coupling,deepseek-v4-flash,0,integrator,0.5312,0.6875,1.0,1.8825,1.4545,1.5798,4.0,1988
t-DATA-M-02,data,medium_coupling,deepseek-v4-flash,1,integrator,0.6875,0.6875,1.0,1.4545,1.4545,1.7936,4.0,2111
t-DATA-M-02,data,medium_coupling,deepseek-v4-flash,2,integrator,0.6875,0.6875,1.0,1.4545,1.4545,0.6776,4.0,-2448
t-DATA-M-02,data,medium_coupling,deepseek-v4-flash,0,last,0.5312,0.6875,0.5312,1.0,0.7727,0.8676,3.0,-454
t-DATA-M-02,data,medium_coupling,deepseek-v4-flash,1,last,0.6875,0.6875,0.5312,0.7727,0.7727,1.2432,3.0,647
t-DATA-M-02,data,medium_coupling,deepseek-v4-flash,2,last,0.6875,0.6875,0.5312,0.7727,0.7727,0.4471,3.0,-4199
t-DOC-H-03,document,high_coupling,deepseek-v4-flash,0,blackboard,0.5,0.375,0.75,1.5,2.0,0.9842,4.0,-112
t-DOC-H-03,document,high_coupling,deepseek-v4-flash,1,blackboard,0.5,0.5,0.5,1.0,1.0,0.7877,4.0,-2150
t-DOC-H-03,document,high_coupling,deepseek-v4-flash,2,blackboard,0.5,0.375,0.5,1.0,1.3333,1.1973,4.0,1099
t-DOC-H-03,document,high_coupling,deepseek-v4-flash,0,concat,0.5,0.375,0.625,1.25,1.6667,0.8677,4.0,-938
t-DOC-H-03,document,high_coupling,deepseek-v4-flash,1,concat,0.5,0.5,0.625,1.25,1.25,0.7107,4.0,-2930
t-DOC-H-03,document,high_coupling,deepseek-v4-flash,2,concat,0.5,0.375,0.5,1.0,1.3333,1.1176,4.0,655
t-DOC-H-03,document,high_coupling,deepseek-v4-flash,0,integrator,0.5,0.375,1.0,2.0,2.6667,1.7983,5.0,5658
t-DOC-H-03,document,high_coupling,deepseek-v4-flash,1,integrator,0.5,0.5,1.0,2.0,2.0,1.4502,5.0,4560
t-DOC-H-03,document,high_coupling,deepseek-v4-flash,2,integrator,0.5,0.375,0.375,0.75,1.0,3.0233,5.0,11272
